Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бабак,Олена,Спасівна,Жіноча,1949-08-24,Пекар,місто Кальміуське,"узвіз Щоглова, буд. 807 кв. 130, Олешки, 06954",065 509 55 95,olena58@example.com
Годунок,Аліна,Амвросійовна,Жіноча,2008-08-28,Доцент,село Славутич,"парк Грецька, буд. 58 кв. 36, Шахтарськ, 78459",044 752 11 66,ssirchenko@example.net
Ґжицький,Мирослав,Антонович,Чоловіча,1960-04-19,Круп'є,село Лиман,"узвіз Венгера, буд. 252, Бар, 32898",+380 75 619-96-80,antonhuzii@example.com
Деревʼянко,Надія,Миколаївна,Жіноча,1949-10-30,Епідеміолог,селище Бобринець,"провулок Багринова, буд. 050, Жовква, 19225",046 427-12-11,maksymvysochan@example.org
Царенко,Ірина,Богуславівна,Жіноча,1975-11-12,Диригент,селище Кілія,"провулок Дмитра Сигаревича, буд. 26, Нововолинськ, 44105",+380 (23) 238-45-28,pavlychenkoorkhyp@example.net
Тесленко,Пилип,Дмитрович,Чоловіча,1990-03-21,Композитор,місто Новомиргород,"парк Моторний 3-й, буд. 1 кв. 4, Чернігів, 96988",075 410 69 95,andreikoiukhym@example.net
Коваленко,Анжела,Сергіївна,Жіноча,2008-04-20,Фермер,село Калинівка,"провулок Садова, буд. 58, Виноградів, 87191",+380 45 221-12-25,sirchenkoserhii@example.com
Скиба,Олена,Глібівна,Жіноча,1995-05-04,Няня,хутір Бобринець,"проспект Липнева, буд. 53 кв. 0, Зеленодольськ, 11267",+380 34 543 28 67,eandriichuk@example.net
Гаврилишин,Юхим,Теодорович,Чоловіча,1992-03-05,Модельєр,село Комарно,"сквер Біржова, буд. 2 кв. 840, Новоселиця, 44034",+380 97 356-33-59,marta04@example.net
Тарасенко,Едита,Ростиславівна,Жіноча,1941-01-18,Єгер,хутір Хмельницький,"парк Педагогічна, буд. 840, Вільногірськ, 06160",+380 (79) 976-66-72,iromanchuk@example.com
Міщенко,Марина,Федорівна,Жіноча,1960-03-07,Електротехнік,селище Покровськ,"вулиця Агрономічна, буд. 542 кв. 3, Глухів, 77402",314 66 65,zasiadkoolena@example.org
Конопля,Лілія,Юхимівна,Жіноча,1969-03-13,Диригент,село Рава-Руська,"площа Композитора Вербицького, буд. 961, Бар, 79222",+380 (61) 125-02-67,taranodarka@example.org
Корж,Світлана,Олегівна,Жіноча,1948-08-27,Драматург,село Белз,"набережна Ольгіївський узвіз, буд. 199 кв. 69, Ходорів, 25542",+380 53 829-10-92,avlokh@example.net
Юхименко,Юстина,Захарівна,Жіноча,1983-08-06,Біолог,місто Кіцмань,"узвіз Рівності, буд. 9 кв. 2, Саки, 37376",432-81-91,herman56@example.com
Копитко,Маруся,Романівна,Жіноча,1946-10-06,Складальник,селище Корюківка,"вулиця Глаубермана, буд. 0, Верхньодніпровськ, 13735",149-59-59,avrelii29@example.net
Ажажа,Олена,Теодорівна,Жіноча,1996-11-18,Фольклорист,хутір Вугледар,"парк Наявний 5-й, буд. 44, Середина-Буда, 91981",041 555 30 63,sviatoslava01@example.net
Дрозденко,Тереза,Устимівна,Жіноча,1998-05-28,Швачка,село Нова Одеса,"вулиця Сергія Уточкіна, буд. 46, Сокаль, 07665",345-38-94,kkarpa@example.net
Демʼянчук,Гордій,Валерійович,Чоловіча,2002-09-19,Мінералог,селище Світлодарськ,"площа Семінарська, буд. 757, Скалат, 92410",+380 77 311 88 83,solomon77@example.net
Габелко,Дарина,Опанасівна,Жіноча,1976-06-04,Юрист,селище Карлівка,"сквер Малинова, буд. 3 кв. 779, Моршин, 25501",037-65-68,shabliistepan@example.com
Андрійчук,Орися,Венедиктівна,Жіноча,1946-09-23,Намотувальник,місто Комарно,"сквер Мацієвської, буд. 991 кв. 9, Болград, 08948",+380 (41) 832-93-57,iustyna18@example.com
Фаренюк,Леон,Георгійович,Чоловіча,1989-10-30,Актор,селище Дніпрорудне,"площа Деволанівська, буд. 17 кв. 103, Баранівка, 33317",+380 06 284-48-22,heorhii39@example.net
Кибкало,Марта,Орестівна,Жіноча,1944-10-16,Машиніст,хутір Мукачево,"площа Луцька, буд. 664 кв. 220, Кременчук, 92056",133 77 00,viacheslavkarmaliuk@example.net
Мазепа,Болеслав,Гаврилович,Чоловіча,1957-09-10,Фольклорист,селище Іршава,"сквер Абрикосова, буд. 7 кв. 257, Охтирка, 03682",+380 38 718 56 29,echumak@example.org
Бабариченко,Оксенія,Йосипівна,Жіноча,1998-06-18,Вчитель,хутір Тернівка,"узвіз Тополина, буд. 150, Новоукраїнка, 95595",+380 87 101-15-69,ddubas@example.com
Непорожній,Єфрем,Йосипович,Чоловіча,1970-10-30,Випробувач,хутір Ржищів,"узвіз 5-та Лінія Марії Демченко, буд. 355, Шепетівка, 46646",+380 (31) 015-22-73,artiushenkoihor@example.net
Скиба,Святослава,Вʼячеславівна,Жіноча,1945-09-23,Юрист,селище Мена,"парк Дніпропетровська дорога, буд. 91, Новогродівка, 49666",480 48 14,danchukserhii@example.org
Тичина,Григорій,Іванович,Чоловіча,1969-11-20,Провізор,хутір Комарно,"проспект Юзефа Крашевського, буд. 36, Лебедин, 04829",+380 64 675-73-20,jiakovenko@example.net
Гайдай,Трохим,Гаврилович,Чоловіча,2002-12-14,Антрополог,місто Павлоград,"парк Почаївська, буд. 94 кв. 464, Алчевськ, 62034",488 05 40,dbashtan@example.org
Бабʼюк,Валентина,Русланівна,Жіноча,1990-01-19,Лікар,місто Деражня,"узвіз Степний 2-й, буд. 80, Кагарлик, 01816",064 289-27-94,tshvedchenko@example.net
Їжакевич,Вікторія,Теодорівна,Жіноча,1946-10-21,Астроном,селище Хмільник,"шосе Байкал тупик, буд. 90, Чоп, 44792",568 57 92,inalyvaiko@example.net
Христич,Людмила,Опанасівна,Жіноча,1969-01-23,Фізик,хутір Гребінка,"вулиця Тюльпанний, буд. 25, Коростень, 41049",+380 81 377-41-31,babarychenkonestor@example.org
Верховинець,Демид,Орестович,Чоловіча,1963-05-17,Кур'єр,хутір Кагарлик,"парк Евлії Челебі, буд. 378, Корець, 09780",042 515 52 00,tsymbaliuktaras@example.org
Конопля,Пилип,Русланович,Чоловіча,1941-12-11,Прокурор,село Чорнобиль,"провулок Волова, буд. 92, Бердянськ, 02202",+380 36 913 54 40,zasiadkosvitlana@example.com
Жук,Христина,Ярославівна,Жіноча,1997-10-14,Інженер,місто Інкерман,"узвіз Проектна 2-га, буд. 5 кв. 2, Конотоп, 66915",+380 (52) 841-47-98,havryshkevychaaron@example.com
Карпа,Святослава,Азарівна,Жіноча,1998-08-13,Художник,селище Алушта,"набережна Люстдорфський, буд. 56, Заводське, 53487",+380 10 448-83-09,foberemko@example.net
Данькевич,Опанас,Аврелійович,Чоловіча,1948-11-12,Візажист,хутір Новгород-Сіверський,"проспект Кондрашина, буд. 9 кв. 09, Шпола, 13984",489 04 42,priskasmyk@example.net
Демʼянчук,Еріка,Васильівна,Жіноча,1972-01-01,Державний службовець,село Шостка,"проспект Онілової, буд. 207, Новодністровськ, 64707",+380 05 286-98-17,ostapnikoliuk@example.org
Євтушок,Роксолана,Кирилівна,Жіноча,1999-11-28,Менеджер,місто Брянка,"парк Охтирський, буд. 0, Самбір, 78353",+380 (38) 766-06-68,aoliinyk@example.net
Чаленко,Охрім,Трохимович,Чоловіча,1997-02-24,Паблік рилейшнз,селище Часів Яр,"сквер Чорноморський 1-й, буд. 1 кв. 382, Глиняни, 70083",+380 (35) 383-17-71,vladyslav84@example.org
Жученко,Марта,Пилипівна,Жіноча,1997-12-15,Акушер,селище Кременець,"проспект Проектна 2-га, буд. 650, Ясинувата, 71504",510 57 29,stefan31@example.net
Канівець,Степан,Павлович,Чоловіча,1975-12-12,Євнух,місто Армянськ,"проспект Шкільний, буд. 978 кв. 646, Глухів, 47838",+380 93 043 42 92,zmishchenko@example.net
Рябошапка,Володимира,Дмитріївна,Жіноча,1989-12-06,Музичний редактор,селище Бучач,"узвіз Театральний, буд. 7, Новомиргород, 27599",+380 14 407-13-94,chuprynaandrii@example.org
Артимишин,Богдан,Амвросійович,Чоловіча,1943-12-07,Мінералог,село Бережани,"проспект Парашутний, буд. 66 кв. 12, Мукачево, 37963",+380 (57) 824-19-67,adam61@example.net
Запорожець,Святослава,Амвросійовна,Жіноча,1966-08-09,Етнограф,хутір Лозова,"шосе Максима Чайки, буд. 8 кв. 3, Новоукраїнка, 73450",003 798 99 92,perepelytsiademian@example.net
Ващенко,Ігор,Захарович,Чоловіча,1963-07-10,Графік,хутір Новоселиця,"площа Слобідська, буд. 15, Авдіївка, 51158",+380 (66) 954-96-72,zteslenko@example.com
Голик,Єлисей,Климентович,Чоловіча,1999-04-29,Швачка,хутір Дунаївці,"провулок Місячна, буд. 1 кв. 955, Нововолинськ, 03694",023 311 64 51,bazylevskahanna@example.net
Іщак,Йосип,Євгенійович,Чоловіча,1971-02-27,Співак,селище Тиврів,"площа Парусна, буд. 01 кв. 060, Міусинськ, 27794",270 15 08,davymukastanislav@example.org
Калениченко,Амалія,Васильівна,Жіноча,1986-04-22,Бібліограф,місто Токмак,"вулиця Могилівська, буд. 37 кв. 2, Кальміуське, 70215",+380 71 640-24-98,qkhudiak@example.net
Короленко,Йосип,Демидович,Чоловіча,1995-05-22,Стоматолог,селище Фастів,"сквер Вузький, буд. 7 кв. 505, Радомишль, 33007",+380 38 258-49-34,bohodar86@example.net
Єрмоленко,Адам,Ігнатович,Чоловіча,1972-05-10,Пекар,село Кременець,"площа Овідіопольський, буд. 6 кв. 1, Ладижин, 04874",+380 01 441-70-25,kylymnykliliia@example.org
Хоменко,Маруся,Семенівна,Жіноча,1988-06-07,Реставратор,село Болехів,"площа Підйомний, буд. 858 кв. 085, Дніпро, 85060",083 318 89 97,boryslavtymchuk@example.com
Перебийніс,Богданна,Трохимівна,Жіноча,1968-07-19,Флорист,місто Краматорськ,"площа Кишинівська, буд. 290 кв. 55, Нетішин, 13031",658 68 11,prokhir95@example.com
Луценко,Людмила,Макарівна,Жіноча,1956-03-10,Акушер,селище Кременчук,"провулок Деревообробна, буд. 66, Дунаївці, 80933",084 012-33-80,vavramenko@example.com
Єременко,Аврелій,Прохорович,Чоловіча,1973-02-27,Промисловець,місто Сімферополь,"площа Нафтовиків, буд. 131, Золотоноша, 76408",+380 22 694-05-10,arseniatsenko@example.net
Опанасенко,Єва,Тимофіївна,Жіноча,1998-12-10,Актор,село Вовчанськ,"вулиця Азербайджан, буд. 356 кв. 0, Дружківка, 66247",087 558-86-13,sdarahan@example.net
Усик,Антон,Демʼянович,Чоловіча,1986-06-29,Кур'єр,хутір Броди,"площа Уральський, буд. 3, Івано-Франківськ, 92666",030 479 07 93,vlytvyn@example.com
Ісаєвич,Розалія,Владиславівна,Жіноча,1996-10-31,Музикант,хутір Бар,"набережна Георгія Липського, буд. 69, Перевальськ, 20196",082 179-07-56,khomykvenedykt@example.net
Архимович,Маруся,Аркадіївна,Жіноча,1998-05-29,Доцент,місто Семенівка,"вулиця Кобзаря, буд. 27, Хмельницький, 13250",058 397 31 61,vitaliihaidenko@example.com
Євтушок,Пармен,Адамович,Чоловіча,1986-05-17,Ветеринар,село Золотоноша,"площа Чорноморський 1-й, буд. 633, Виноградів, 31084",+380 55 037 20 30,otelizhenko@example.com
Єщенко,Світлана,Русланівна,Жіноча,1984-03-20,Дерун,селище Борислав,"набережна Заводська 1-ша, буд. 189, Керч, 06072",+380 75 907-25-71,nataliia37@example.net
Михалюк,Василь,Тимофійович,Чоловіча,1983-10-14,Професор,хутір Радивилів,"сквер Академіка Векслера, буд. 09 кв. 01, Гірник, 80475",+380 (38) 177-32-43,fskoryk@example.org
Корсун,Захар,Глібович,Чоловіча,1941-05-24,Фотограф,селище Снятин,"узвіз Астрономічна, буд. 9, Бобринець, 54618",354 66 95,lizaiakymchuk@example.org
Баранник,Софія,Йосипівна,Жіноча,1974-06-10,Музикант,селище Скалат,"вулиця Колективний, буд. 91, Середина-Буда, 52633",075 023-25-62,charnyshdmytro@example.com
Гайдабура,Йосип,Антонович,Чоловіча,2002-12-21,Візажист,село Ланівці,"узвіз Уральська, буд. 9, Бар, 61262",052 922-00-36,valentyn35@example.com
Лемешко,Максим,Орхипович,Чоловіча,1996-09-02,Психолог,село Богодухів,"шосе Нафтовиків 2-й, буд. 3 кв. 2, Ланівці, 86963",064 264 36 31,iukhymenkoiakiv@example.net
Вернигора,Світлана,Прохорівна,Жіноча,1990-09-20,Гірничий інженер,селище Броди,"шосе Любомира Гузара, буд. 576 кв. 90, Чистякове, 81930",+380 (62) 620-72-58,padamchuk@example.org
Тимченко,Охрім,Данилович,Чоловіча,1981-01-24,Астронавт,хутір Вуглегірськ,"шосе Госпітальний, буд. 91, Угнів, 45418",794 52 38,zbatiuk@example.com
Корсун,Прохір,Васильович,Чоловіча,1989-06-16,Євнух,місто Шахтарське,"площа 15-та ст. Великого Фонтану пляж, буд. 954 кв. 833, Хрустальний, 64347",776-47-72,volodymyra96@example.org
Аврамчук,Петро,Петрович,Чоловіча,1967-05-08,Ботанік,село Арциз,"парк Вчительська, буд. 85 кв. 778, Переяслав, 25531",+380 19 424-17-24,albertbabiak@example.org
Кабалюк,Семен,Віталійович,Чоловіча,1984-11-24,Живописець,місто Березівка,"набережна Гетьманський, буд. 2 кв. 825, Дніпро, 38618",+380 94 535 97 50,parmen50@example.net
Конопленко,Макар,Григорійович,Чоловіча,1945-11-18,Фармацевт,місто Алупка,"парк Пішонівська, буд. 1 кв. 995, Люботин, 97918",+380 73 779-36-39,sirkoalevtyn@example.org
Алексеєнко,Стефан,Вʼячеславович,Чоловіча,1941-01-13,Електрик,хутір Новий Розділ,"парк Клинова, буд. 816 кв. 6, Радивилів, 90516",+380 (01) 064-35-04,oksana73@example.org
Дараган,Вадим,Трохимович,Чоловіча,1986-01-21,Фермер,селище Путивль,"шосе Обсерваторний, буд. 2 кв. 594, Сіверськодонецьк, 97051",004 018-45-49,xbandurka@example.com
Мамчур,Юстина,Захарівна,Жіноча,1971-05-29,Ботанік,село Алупка,"проспект Український 2-й, буд. 96 кв. 874, Шаргород, 55836",+380 (36) 452-54-96,zubkoazar@example.net
Закусило,Охрім,Олександрович,Чоловіча,1985-06-22,Фізик,село Могилів-Подільський,"узвіз Миколаївський 1-й, буд. 3 кв. 1, Єнакієве, 52244",+380 89 595 31 56,davymukavarvara@example.com
Корбут,Ігнат,Євгенійович,Чоловіча,1959-02-17,Головний меркшейдер,місто Самбір,"набережна Садова, буд. 0 кв. 06, Фастів, 82879",+380 79 548-80-82,nzabara@example.org
Пилипенко,Богуслава,Кирилівна,Жіноча,1979-08-06,Ріелтор,село Українка,"вулиця Валерія Лобановського, буд. 5 кв. 65, Шостка, 56858",022 217-73-19,emiliia65@example.com
Шевченко,Вікторія,Гордіївна,Жіноча,1997-05-30,Клоун,селище Брянка,"набережна Охтирський, буд. 7 кв. 69, Єнакієве, 77904",+380 03 250-49-08,androshchukmilena@example.org
Перепелиця,Аарон,Вʼячеславович,Чоловіча,1969-05-10,Професор,селище Кодима,"проспект Матроська Слободка , буд. 007 кв. 17, Ходорів, 04766",617-29-44,chalaliudmyla@example.net
Романенко,Давид,Веніяминович,Чоловіча,1984-06-18,Перекладач,селище Покров,"узвіз Лінія 24-та, буд. 5, Південне, 68458",+380 93 040 58 27,bebeshkorostyslav@example.net
Вергун,Ганна,Миколаївна,Жіноча,1968-05-14,Фольклорист,місто Красноперекопськ,"шосе Водопровідний 2-й, буд. 312, Умань, 45649",+380 61 706-87-67,nsheremet@example.com
Бабʼюк,Арсен,Григорійович,Чоловіча,2003-03-06,Агроном,хутір Теребовля,"шосе 2-га Лінія Марії Демченко, буд. 8 кв. 508, Умань, 17387",+380 (56) 180-65-66,rebrykiosyp@example.com
Швачка,Гліб,Опанасович,Чоловіча,1994-06-05,Випробувач,місто Яремче,"узвіз Кримський, буд. 7, Покровськ, 86833",+380 45 129 17 94,olha16@example.org
Смик,Захар,Вадимович,Чоловіча,1977-02-20,Пілот,село Черкаси,"площа Іванова Ігоря, буд. 25, Ржищів, 20925",+380 57 872-65-61,tryhubeduard@example.com
Вовк,Алла,Русланівна,Жіноча,1986-06-21,Реставратор,село Волочиськ,"сквер Привокзальна, буд. 5 кв. 10, Кобеляки, 57007",+380 97 456 66 35,chavryliv@example.com
Гаєвська,Камілла,Іванівна,Жіноча,1999-10-09,Піаніст,селище Подільськ,"узвіз Лінія 43-тя, буд. 46 кв. 4, Торецьк, 38440",+380 60 227 71 43,viktor66@example.org
Юрчишин,Аліна,Степанівна,Жіноча,1995-06-28,Візажист,місто Зоринськ,"парк Москеті, буд. 3 кв. 1, Винники, 12137",039 828-22-60,kanivetsiefrem@example.org
Гузій,Тетяна,Панасівна,Жіноча,1992-07-15,Антрополог,хутір Шаргород,"парк Парусна, буд. 12 кв. 64, Трускавець, 47781",075 986 12 88,vladyslavshevchenko@example.com
Ірванець,Аніта,Панасівна,Жіноча,1997-06-26,Економіст,селище Путивль,"шосе Іванівський переїзд, буд. 221 кв. 23, Кілія, 34888",+380 (88) 177-29-33,dubenkodemyd@example.org
Жученко,Омелян,Тарасович,Чоловіча,2003-04-03,Перекладач,хутір Батурин,"парк Крайня, буд. 3 кв. 8, Кам'янка-Бузька, 33941",+380 62 611-43-29,vysochanbohdan@example.com
Пилипенко,Одарка,Трохимівна,Жіноча,1952-08-16,Каскадер,місто Пирятин,"узвіз Чубаївський, буд. 024, Дунаївці, 45016",+380 (24) 546-06-31,viktoriia33@example.net
Баранник,Богодар,Антонович,Чоловіча,2004-09-26,Етнограф,селище Молочанськ,"шосе Кишинівська, буд. 78 кв. 871, Могилів-Подільський, 49260",+380 98 221-92-23,vermenychsnizhana@example.org
Дерегус,Камілла,Федорівна,Жіноча,1979-06-02,Кінорежисер,село Новогродівка,"вулиця Сортувальна 2-га, буд. 231, Молочанськ, 25516",392-22-10,ivan45@example.org
Франчук,Дарина,Русланівна,Жіноча,1990-11-30,Геолог,селище Новий Буг,"проспект Лазурний 4-й, буд. 922, Старокостянтинів, 05068",206 47 35,ausyk@example.com
Вітер,Костянтин,Теодорович,Чоловіча,1968-01-24,Музичний редактор,хутір Липовець,"узвіз Прохоровська, буд. 29 кв. 234, Пирятин, 84992",+380 80 326 00 06,boleslav00@example.net
Байда,Йосип,Теодорович,Чоловіча,1991-06-13,Художник,селище Свалява,"сквер Проценка, буд. 831 кв. 04, Дубровиця, 13352",+380 04 302 42 91,panteleimon35@example.com
Ґереґа,Володимира,Григоріївна,Жіноча,1992-05-30,Реставратор,хутір Новгород-Сіверський,"узвіз Ніщинського Композитора, буд. 9 кв. 0, Скалат, 67180",086 654-31-86,iermolenkozlatoslava@example.net
Ярема,Арсен,Охрімович,Чоловіча,1993-02-03,Економіст,село Глиняни,"узвіз Компасний, буд. 2 кв. 606, Олександрія, 67693",485-31-46,allavelychko@example.net
Пʼятаченко,Георгій,Валерійович,Чоловіча,1974-09-23,Слідчий,хутір Заліщики,"шосе Острозька, буд. 0 кв. 72, Славута, 92225",+380 06 531 78 72,zubkomilena@example.net
Юрчишин,Аарон,Юстимович,Чоловіча,1953-02-28,Музикознавець,село Полтава,"проспект Гранатний, буд. 26, Дрогобич, 87212",003 116 99 39,wzakharenko@example.net
Девдюк,Кирило,Глібович,Чоловіча,2003-06-27,Провізор,місто Золоте,"набережна Чорноморський 7-й, буд. 362, Гірське, 54606",055-98-08,iukhym55@example.com
Яременко,Орест,Тарасович,Чоловіча,2004-04-24,М'ясник,місто Новий Буг,"сквер Крутоярська, буд. 817 кв. 13, Красилів, 90496",+380 81 205-73-23,mykhailynavasylenko@example.org
Дрозденко,Златослава,Федорівна,Жіноча,2003-05-12,Агроном,селище Інкерман,"вулиця Суперфосфатна, буд. 84, Андрушівка, 86211",+380 72 966-86-91,iarema49@example.org
Пушкар,Віолетта,Пилипівна,Жіноча,2005-10-11,Кінолог,місто Бобровиця,"вулиця Гвоздична, буд. 6, Гірник, 43958",056 891 23 26,bzaruba@example.org
Стус,Ольга,Юхимівна,Жіноча,1951-08-31,Візажист,село Заліщики,"проспект Вапняний 1-й, буд. 58, Нова Каховка, 93190",+380 92 551-77-67,leontii98@example.net
Гайдамака,Костянтин,Русланович,Чоловіча,1998-08-03,Візажист,селище Яготин,"шосе Лазурний 4-й, буд. 620 кв. 09, Шумськ, 73751",804-99-89,pavlykhlib@example.com
Андрійчук,Алла,Максимівна,Жіноча,1948-05-23,Кінолог,селище Броди,"вулиця Пшенична, буд. 680, Покров, 32690",+380 64 218-43-82,kozachenkoveniiamyn@example.com
Бабійчук,Омелян,Теодорович,Чоловіча,1986-04-02,Конструктор,хутір Овруч,"вулиця Зелена гірка, буд. 65, Подільськ, 40845",065 666 67 83,qzaiets@example.org
Мамчур,Амвросій,Георгійович,Чоловіча,1969-01-01,Історик,селище Арциз,"вулиця Петра Біциллі, буд. 937 кв. 5, Узин, 06318",+380 (26) 698-21-63,khrystychvolodymyr@example.net
Яремків,Мирон,Макарович,Чоловіча,2004-03-22,Фотограф,селище Миколаївка,"узвіз Дідріхсона, буд. 61, Золоте, 76237",+380 93 858-81-72,anzhela42@example.net
Вишняк,Марта,Олександрівна,Жіноча,1991-09-09,Реабілітолог,хутір Новий Калинів,"проспект Обліпихова, буд. 88, Кобеляки, 89474",087 013 41 01,nosenkonazar@example.org
Чубай,Августин,Владиславович,Чоловіча,1958-06-18,Каскадер,хутір Красногорівка,"площа Восьмого березня 8-й, буд. 340 кв. 6, Вінниця, 04287",+380 23 524-25-08,iemelianenkoviktoriia@example.net
Демʼяненко,Демид,Григорійович,Чоловіча,1964-06-25,Промисловець,селище Мостиська,"сквер Садова, буд. 20 кв. 00, Самар, 46478",058 055-60-55,aaron90@example.com
Александренко,Емілія,Алевтинівна,Жіноча,1978-08-13,Нотаріус,село Алчевськ,"провулок Творча, буд. 45, Авдіївка, 29651",+380 (63) 456-78-50,trokhym28@example.com
Скопенко,Франц,Демидович,Чоловіча,1971-05-09,Випробувач,селище Теплодар,"проспект Людмили Гінзбург, буд. 10, Кодима, 33556",+380 65 806-41-39,nalyvaikoanton@example.net
Рябошапка,Нестор,Альбертович,Чоловіча,1993-04-05,Водій,село Олешки,"вулиця Преображенська, буд. 84 кв. 2, Свалява, 93509",450 81 21,anitabandura@example.com
Іщенко,Левко,Романович,Чоловіча,1985-01-09,Футболіст,село Валки,"набережна Поїзна, буд. 38, Ківерці, 56623",+380 87 063-00-40,ielysei10@example.com
Ляшко,Еріка,Остапівна,Жіноча,1965-07-09,Математик,місто Миколаївка,"провулок Лиманчик 2-й Лінія 4-та, буд. 438, Олександрівськ, 90227",+380 32 072-94-53,stefan64@example.com
Штепа,Тереза,Устимівна,Жіноча,2006-12-17,Гицель,місто Косів,"набережна 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 8, Лисичанськ, 20633",064-50-18,larysashcherbak@example.org
Вернигора,Костянтин,Богуславович,Чоловіча,1945-07-13,Електрик,село Щолкіне,"набережна Аркаса Миколи, буд. 8 кв. 18, Южноукраїнськ, 22223",+380 20 657-11-30,ihorzatula@example.net
Дробʼязко,Теодор,Пантелеймонович,Чоловіча,2007-02-08,Менеджер,хутір Корсунь-Шевченківський,"площа Липнева, буд. 822, Ніжин, 73916",018 641 88 91,xstus@example.org
Вертипорох,Віталій,Миронович,Чоловіча,1939-09-16,Мистецтвознавець,село Перещепине,"проспект Берегова, буд. 765, Алупка, 43011",034 080 38 48,pylyp70@example.com
Сагаль,Франц,Яремович,Чоловіча,2004-02-02,Детектив,хутір Сторожинець,"шосе Долинська, буд. 23 кв. 294, Самбір, 61175",+380 69 955-07-51,cvdovenko@example.net
Ватаманюк,Юстина,Прохорівна,Жіноча,1977-06-25,Актор,селище Бурштин,"провулок Краснослобідська, буд. 13 кв. 4, Монастирище, 34380",+380 58 786-47-32,iukhymsirko@example.org
Бабко,Ігнат,Орестович,Чоловіча,1968-02-24,Юрист,місто Макіївка,"набережна Лузанівка, буд. 825 кв. 9, Новгород-Сіверський, 17169",760 48 30,achubai@example.org
Вакуленко,Олена,Русланівна,Жіноча,1972-07-17,Модельєр,хутір Володимир-Волинський,"проспект Верстатобудівна, буд. 952 кв. 2, Монастириська, 66291",590-26-29,vadym16@example.net
Ґерус,Єва,Едуардівна,Жіноча,1973-10-23,Композитор,місто Нікополь,"набережна Успенський, буд. 4, Апостолове, 32533",+380 80 257-84-31,alevtyn72@example.org
Фастенко,Соломон,Станіславович,Чоловіча,1998-05-29,Зоолог,село Енергодар,"шосе Літературна, буд. 75 кв. 79, Алчевськ, 74530",+380 (96) 571-26-92,vatroshchenko@example.com
Бабій,Віталій,Ігорович,Чоловіча,1985-04-09,Графік,хутір Костянтинівка,"парк Магістральна, буд. 45 кв. 639, Вознесенівка, 63247",034 204 99 90,oles29@example.org
Пилипенко,Роксолана,Макарівна,Жіноча,1945-10-19,Біолог,хутір Верхньодніпровськ,"вулиця Глухий міст, буд. 0 кв. 1, Василівка, 07457",086 923 93 03,aishchak@example.org
Михайличенко,Світлана,Омелянівна,Жіноча,1990-02-07,Математик,селище Луцьк,"проспект Олександра Мурашка, буд. 73, Умань, 27646",635 36 54,thaidenko@example.com
Салій,Едита,Лесівна,Жіноча,1945-12-22,Психолог,місто Бібрка,"проспект Солонцюватий 1-й, буд. 32, Чоп, 14111",036 36 03,bpavlenko@example.net
Притула,Лесь,Гаврилович,Чоловіча,1965-08-14,Каскадер,місто Тернопіль,"шосе Журавлина, буд. 79, Герца, 94751",+380 89 774-93-08,solomon01@example.com
Бгиденко,Леонід,Ярославович,Чоловіча,1951-07-07,Співак,село Новоукраїнка,"провулок Мирослава Скорика, буд. 9, Світлодарськ, 11147",041 270 45 71,xtiahnybok@example.org
Гук,Захар,Теодорович,Чоловіча,1959-10-13,Кінокритик,селище Стрий,"набережна Бернардацці, буд. 7, Кальміуське, 87237",070 406 12 01,zakharchenkooles@example.net
Габелко,Гордій,Олексович,Чоловіча,1968-10-16,Ювелір,хутір Горішні Плавні,"площа Волтона, буд. 91, Голубівка, 67609",+380 (05) 057-01-25,nadiia40@example.org
Артим,Володимир,Назарович,Чоловіча,1940-09-12,Машиніст,село Кролевець,"провулок Умова, буд. 913, Тростянець, 63216",+380 09 750-62-02,ieroshenkoalevtyn@example.com
Проценко,Софія,Адамівна,Жіноча,1987-11-04,Маркетолог,хутір Хмельницький,"парк Гранатна, буд. 563, Ужгород, 45934",+380 10 677-02-80,ievhen38@example.com
Безбородько,Давид,Ростиславович,Чоловіча,1974-02-28,Ґрунтознавець,місто Галич,"парк Андреєвського, буд. 077 кв. 92, Сарни, 93055",831-46-18,markobevzenko@example.org
Безбородько,Єфрем,Юхимович,Чоловіча,1954-02-27,Психолог,село Зіньків,"провулок Рози вітрів, буд. 642, Кам'янець-Подільський, 14644",+380 99 958 28 89,ashcherbak@example.com
Жук,Станіслав,Владиславович,Чоловіча,1955-09-22,Водій,село Перещепине,"парк Житомирський 4-й, буд. 194, Щастя, 47596",059 038 80 54,albert18@example.net
Євтушенко,Валентин,Глібович,Чоловіча,1943-01-27,Вчитель,місто Буча,"узвіз Соляний 4-й, буд. 787, Баштанка, 84120",187-89-80,ruslanatamaniuk@example.org
Шило,Артем,Вікторович,Чоловіча,1971-05-25,Реставратор,селище Кілія,"шосе Василя Кандинського 4-й, буд. 2, Кипуче, 40653",+380 (03) 863-60-66,davydromanchuk@example.org
Гайдай,Теодор,Болеславович,Чоловіча,1992-08-17,Вчитель,селище Буринь,"площа Рівний, буд. 573, Южне, 39665",+380 95 835 03 09,andreikomykyta@example.com
